company,open_date,listing_date,bse_list,nse_list,bse,nse,issue_amt,issue_price,qib,nii,rii,total,listing_price_am,listing_price_pm,list_gain_pm,mp_val,mp_percentage,52_wk_high,52_wk_high_date,52_wk_low,52_wk_low_date,assets,revenue,pat,pre_pe,post_pe,roe,roce,ronw,net_worth,reserves,borrowing,pat_margin,pre_eps,post_eps,pb_value,ebitda
Ola Electric Mobility IPO,2024-08-02,2024-08-09,1,1,544225,OLAELEC,6145.56,76,2.84,2.2,3.86,2.85,76,91.2,20,30.89,-59.34,71.25,04/09/2025,30.41,13/02/2026,7735.41,5243.27,-1584.4,-17.69,-21.16,,,-78.46%,2019.34,-2882.54,2389.21,,-4.3,-3.59,13.72,
Brainbees Solutions IPO,2024-08-06,2024-08-13,1,1,544226,FIRSTCRY,4193.73,465,8.32,4.69,2.38,7.17,651,679.1,46.04,269.8,-41.99,438.7,08/09/2025,254.5,27/01/2026,7510.38,6575.08,-321.51,-69.91,-75.09,,,-8.65%,3170.74,3081.74,462.72,,-6.65,-6.19,6.49,
Unicommerce eSolutions IPO,2024-08-06,2024-08-13,1,1,544227,UNIECOM,276.57,108,55.83,254.2,136.56,93.66,235,210.08,94.52,100.96,-6.25,155.8,04/09/2025,95.4,13/02/2026,109.11,109.43,13.08,84.59,84.59,17.36%,25.93%,18.98%,68.91,45.87,,12.63,1.28,1.28,15.81,
Saraswati Saree Depot IPO,2024-08-12,2024-08-20,1,1,544230,SSDL,160.01,160,63.3,360.72,64.8,108.44,194,203.7,27.31,74,-53.12,121.03,17/02/2025,62.9,02/02/2026,205.94,612.58,29.53,17.94,21.46,5888%,6446%,4549%,64.91,,43.49,4.83,8.92,7.46,8.16,
Interarch Building Products IPO,2024-08-19,2024-08-26,1,1,544232,INTERARCH,600.29,900,79.44,127.48,20.4,65.75,1220,1196.45,32.94,1924.3,114.01,2762.6,10/11/2025,1264,07/04/2025,755.01,1306.32,86.26,15.04,17.36,19.4%,25.79%,22.26%,262.65,,3.36,7.2,59.84,51.85,0,
Orient Technologies IPO,2024-08-21,2024-08-28,1,1,544235,ORIENTTECH,214.76,206,75.42,302.28,66.68,106.39,288,302.4,46.8,335.35,62.43,466.73,07/10/2025,267.45,18/03/2025,311.14,606.86,41.45,17.8,20.7,2726%,2842%,2364%,175.31,138.79,4.82,6.87,11.57,9.95,4.21,
Premier Energies IPO,2024-08-27,2024-09-03,1,1,544238,PREMIERENE,2830.4,450,85.49,50.73,7.59,52.82,990,839.9,86.64,759.2,68.64,1163.9,19/05/2025,660,01/02/2026,3735.5,1668.79,198.16,82.09,25.59,43.73%,25.65%,37.46%,26.96,255.73,1200.16,7.3,5.48,17.58,30.76,
ECOS Mobility IPO,2024-08-28,2024-09-04,1,1,544239,ECOSMOBLTY,601.2,334,55.38,70.23,19.31,44.98,390,443.15,32.68,173.13,-48.22,358.4,23/07/2025,165,07/04/2025,296.66,568.21,62.53,32.05,32.05,42.75%,42.88%,42.75%,177.41,165.41,21.72,11,10.42,10.42,11.3,
Baazar Style Retail IPO,2024-08-30,2024-09-06,1,1,544243,BZRSTYL,834.68,389,33.32,59.53,9.36,28.83,389,400,2.83,353.65,-8.8,392,03/10/2025,181,18/02/2025,1165.97,982.83,21.94,125.54,132.28,10.74%,18.39%,10.32%,212.56,180.2,178.23,2.23,3.1,2.94,12.78,
Gala Precision Engineering IPO,2024-09-02,2024-09-09,1,1,544244,GALAPREC,167.93,529,92.68,425.84,102.38,145.78,721.1,757.15,43.13,793,48.51,1080,19/02/2025,677.75,28/01/2026,188.69,204.38,22.33,23.95,30.01,23.59%,19.91%,21.38%,104.45,94.67,55.03,11.89,22.09,17.63,5.12,
