Company,Opening_Date,Listing_Date,Listing_At,BSE_Scrip_Code,NSE_Symbol,Issue_Amount_(Rs.cr.),Issue_Price_(Rs.),QIB_(x),NII_(x),Retail_(x),Total_(x),Open_Price_on_Listing_(Rs.),Close_Price_on_Listing_(Rs.),%_Gain_/_Loss_(Issue_price_v/s_Close_price_on_Listing),Current_Price_<br>at_BSE_(Rs.),Current_Price_<br>at_NSE_(Rs.),Gain_/_Loss_(%),Market_Price_(Rs.),52_Week_High,52_Week_Low,Market_Price_(Value),Market_Price_(%),52_Week_High_(Value),52_Week_High_(Date),52_Week_Low_(Value),52_Week_Low_(Date),Assets_(Rs.cr.),Revenue_(Rs.cr.),Profit_After_Tax_(Rs.cr.),P/E_(x)_Pre-IPO,P/E_(x)_Post-IPO,ROE,ROCE,RoNW,Net_Worth_(Rs.cr.),Reserves_and_Surplus_(Rs.cr.),Total_Borrowing_(Rs.cr.),PAT_Margin_%,EPS_(Rs.)_Pre-IPO,EPS_(Rs.)_Post-IPO,Price_to_Book_Value,Ebitda_(Rs.cr.)
Sanstar IPO,2024-07-19,2024-07-26,"BSE, NSE",544217,SANSTAR,510.15,95,58.84,135.23,23.54,57.94,109,115.07,21.13,89.51,89.12,-5.78,89.12 (-5.78%),"109.75 (Feb 12, 2025)","80.00 (Apr 07, 2025)",89.12,-5.78,109.75,"Feb 12, 2025",80,"Apr 07, 2025",527.57,"1,081.68",66.77,19.98,25.93,30.92%,24.43%,30.92%,215.91,225.18,127.64,6.17,4.75,3.66,6.18,
Akums Drugs IPO,2024-07-30,2024-08-06,"BSE, NSE",544222,AKUMS,"1,856.74",679,36.57,42.15,21.02,35.54,725,796.25,17.27,450.65,451.35,-33.63,451.35 (-33.63%),"622.95 (May 27, 2025)","405.00 (Apr 07, 2025)",451.35,-33.63,622.95,"May 27, 2025",405,"Apr 07, 2025","3,516.37","4,212.21",0.79,,,0.11%,3.37%,-0.57,709.5,861.01,491.56,0.02,,0.05,13.69,
Ceigall India IPO,2024-08-01,2024-08-08,"BSE, NSE",544223,CEIGALL,"1,252.66",401,13.13,14.85,3.89,10.14,419,386.75,-3.55,289.1,289.65,-27.91,289.65 (-27.91%),"307.90 (Feb 10, 2026)","222.61 (Dec 09, 2025)",289.65,-27.91,307.9,"Feb 10, 2026",222.61,"Dec 09, 2025","2,592.19","3,066.19",304.91,20.67,22.91,33.57%,31.98%,33.57%,906.41,,"1,811.02",10.05,19.4,17.5,6.95,
Ola Electric Mobility IPO,2024-08-02,2024-08-09,"BSE, NSE",544225,OLAELEC,"6,145.56",76,2.84,2.2,3.86,2.85,76,91.2,20,30.9,30.89,-59.34,30.89 (-59.34%),"71.25 (Sep 04, 2025)","30.41 (Feb 13, 2026)",30.89,-59.34,71.25,"Sep 04, 2025",30.41,"Feb 13, 2026","7,735.41","5,243.27","-1,584.40",-17.69,-21.16,,,-78.46%,"2,019.34","-2,882.54","2,389.21",,-4.3,-3.59,13.72,
Brainbees Solutions IPO,2024-08-06,2024-08-13,"BSE, NSE",544226,FIRSTCRY,"4,193.73",465,8.32,4.69,2.38,7.17,651,679.1,46.04,269.75,269.8,-41.99,269.80 (-41.99%),"438.70 (Sep 08, 2025)","254.50 (Jan 27, 2026)",269.8,-41.99,438.7,"Sep 08, 2025",254.5,"Jan 27, 2026","7,510.38","6,575.08",-321.51,-69.91,-75.09,,,-8.65%,"3,170.74","3,081.74",462.72,,-6.65,-6.19,6.49,
Unicommerce eSolutions IPO,2024-08-06,2024-08-13,"BSE, NSE",544227,UNIECOM,276.57,108,55.83,254.2,136.56,93.66,235,210.08,94.52,101.25,100.96,-6.25,100.96 (-6.25%),"155.80 (Sep 04, 2025)","95.40 (Feb 13, 2026)",100.96,-6.25,155.8,"Sep 04, 2025",95.4,"Feb 13, 2026",109.11,109.43,13.08,84.59,84.59,17.36%,25.93%,18.98%,68.91,45.87,,12.63,1.28,1.28,15.81,
Saraswati Saree Depot IPO,2024-08-12,2024-08-20,"BSE, NSE",544230,SSDL,160.01,160,63.3,360.72,64.8,108.44,194,203.7,27.31,75,74,-53.12,74.00 (-53.12%),"121.03 (Feb 17, 2025)","62.90 (Feb 02, 2026)",74,-53.12,121.03,"Feb 17, 2025",62.9,"Feb 02, 2026",205.94,612.58,29.53,17.94,21.46,58.88,64.46,45.49,64.91,,43.49,4.83,8.92,7.46,8.16,
Interarch Building Products IPO,2024-08-19,2024-08-26,"BSE, NSE",544232,INTERARCH,600.29,900,79.44,127.48,20.4,65.75,"1,220.00","1,196.45",32.94,"1,926.05","1,924.30",114.01,"1,924.30 (114.01%)","2,762.60 (Nov 10, 2025)","1,264.00 (Apr 07, 2025)",1924.3,114.01,2762.6,"Nov 10, 2025",1264,"Apr 07, 2025",755.01,"1,306.32",86.26,15.04,17.36,19.40%,25.79%,22.26%,262.65,,3.36,7.2,59.84,51.85,0,
Orient Technologies IPO,2024-08-21,2024-08-28,"BSE, NSE",544235,ORIENTTECH,214.76,206,75.42,302.28,66.68,106.39,288,302.4,46.8,334.6,335.35,62.43,335.35 (62.43%),"466.73 (Oct 07, 2025)","267.45 (Mar 18, 2025)",335.35,62.43,466.73,"Oct 07, 2025",267.45,"Mar 18, 2025",311.14,606.86,41.45,17.8,20.7,27.26,28.42,23.64,175.31,138.79,4.82,6.87,11.57,9.95,4.21,
Premier Energies IPO,2024-08-27,2024-09-03,"BSE, NSE",544238,PREMIERENE,"2,830.40",450,85.49,50.73,7.59,52.82,990,839.9,86.64,758.9,759.2,68.64,759.20 (68.64%),"1,163.90 (May 19, 2025)","660.00 (Feb 01, 2026)",759.2,68.64,1163.9,"May 19, 2025",660,"Feb 01, 2026","3,735.50","1,668.79",198.16,82.09,25.59,43.73%,25.65%,37.46%,26.96,255.73,"1,200.16",7.3,5.48,17.58,30.76,
ECOS Mobility IPO,2024-08-28,2024-09-04,"BSE, NSE",544239,ECOSMOBLTY,601.2,334,55.38,70.23,19.31,44.98,390,443.15,32.68,172.95,173.13,-48.22,173.13 (-48.22%),"358.40 (Jul 23, 2025)","165.00 (Apr 07, 2025)",173.13,-48.22,358.4,"Jul 23, 2025",165,"Apr 07, 2025",296.66,568.21,62.53,32.05,32.05,42.75%,42.88%,42.75%,177.41,165.41,21.72,11,10.42,10.42,11.3,
Baazar Style Retail IPO,2024-08-30,2024-09-06,"BSE, NSE",544243,BZRSTYL,834.68,389,33.32,59.53,9.36,28.83,389,400,2.83,354.75,353.65,-8.8,353.65 (-8.8%),"392.00 (Oct 03, 2025)","181.00 (Feb 18, 2025)",353.65,-8.8,392,"Oct 03, 2025",181,"Feb 18, 2025","1,165.97",982.83,21.94,125.54,132.28,10.74%,18.39%,10.32%,212.56,180.2,178.23,2.23,3.1,2.94,12.78,
Gala Precision Engineering IPO,2024-09-02,2024-09-09,"BSE, NSE",544244,GALAPREC,167.93,529,92.68,425.84,102.38,145.78,721.1,757.15,43.13,785.6,793,48.51,793.00 (48.51%),"1,080.00 (Feb 19, 2025)","677.75 (Jan 28, 2026)",793,48.51,1080,"Feb 19, 2025",677.75,"Jan 28, 2026",188.69,204.38,22.33,23.95,30.01,23.59%,19.91%,21.38%,104.45,94.67,55.03,11.89,22.09,17.63,5.12,
Shree Tirupati Balajee Agro IPO,2024-09-05,2024-09-12,"BSE, NSE",544249,STBAL,169.65,83,60.56,209.02,71.62,86.7,90,94.5,13.86,34.32,34.12,-58.65,34.12 (-58.65%),"65.64 (Feb 11, 2025)","31.91 (Feb 03, 2026)",34.12,-58.65,65.64,"Feb 11, 2025",31.91,"Feb 03, 2026",516.94,552.82,36.07,15.37,18.77,20.84%,16.29%,20.84%,173.07,106.24,243.69,6.53,5.4,4.42,3.01,
Bajaj Housing Finance IPO,2024-09-09,2024-09-16,"BSE, NSE",544252,BAJAJHFL,"6,560.00",70,89.67,42.85,7.54,49.63,150,165,135.71,89.29,89.29,27.56,89.29 (27.56%),"136.96 (Apr 24, 2025)","87.11 (Feb 02, 2026)",89.29,27.56,136.96,"Apr 24, 2025",87.11,"Feb 02, 2026","88,538.83","2,208.73",482.61,31.62,30.2,,,3.60%,"14,719.91","4,252.83","73,347.06",,2.21,2.32,3.72,
Kross IPO,2024-09-09,2024-09-16,"BSE, NSE",544253,KROSS,500,240,10.44,23.36,11.48,12.74,240,259.81,8.25,216.4,216.34,-9.83,216.34 (-9.83%),"237.60 (Sep 18, 2025)","150.06 (Apr 07, 2025)",216.34,-9.83,237.6,"Sep 18, 2025",150.06,"Apr 07, 2025",352,621.46,44.88,28.93,34.5,30.57%,28.15%,30.57%,146.81,119.76,117.9,7.22,8.3,6.96,8.84,
Tolins Tyres IPO,2024-09-09,2024-09-16,"BSE, NSE",544254,TOLINS,230,226,11.43,28.72,22.31,17.83,228,239.4,5.93,129,128.83,-42.92,128.83 (-42.92%),"202.00 (Sep 12, 2025)","107.72 (Mar 04, 2025)",128.83,-42.92,202,"Sep 12, 2025",107.72,"Mar 04, 2025",221.6,228.69,26.01,26.64,34.33,25.87%,36.08%,25.87%,100.53,85.07,78.77,11.45,8.48,6.58,6.14,
P N Gadgil Jewellers IPO,2024-09-10,2024-09-17,"BSE, NSE",544256,PNGJL,"1,100.00",480,58.18,58.89,17.73,44.13,830,793.3,65.27,566.85,566.95,18.09,566.95 (18.09%),"701.40 (Oct 21, 2025)","473.80 (Apr 07, 2025)",566.95,18.09,701.4,"Oct 21, 2025",473.8,"Apr 07, 2025","1,464.98","6,119.10",154.34,36.7,42.2,28.88%,27.31%,28.88%,534.38,,396.5,2.53,13.08,11.37,10.6,
Western Carriers IPO,2024-09-13,2024-09-24,"BSE, NSE",544258,WCIL,492.88,172,12.01,46.53,27.21,22.51,171,159.44,-7.3,120.15,120.46,-30.15,120.46 (-30.15%),"147.29 (Sep 22, 2025)","65.10 (Apr 07, 2025)",120.46,-30.15,147.29,"Sep 22, 2025",65.1,"Apr 07, 2025",754.01,"1,691.41",80.35,16.85,21.83,22.41%,29.23%,20.17%,398.36,359.01,266,4.77,10.21,7.88,3.4,
Arkade Developers IPO,2024-09-16,2024-09-24,"BSE, NSE",544261,ARKADE,410,128,69.48,174.23,58.03,80.78,175,165.86,29.58,121.55,121.27,-5.04,121.27 (-5.04%),"213.69 (Jul 18, 2025)","107.96 (Jan 29, 2026)",121.27,-5.04,213.69,"Jul 18, 2025",107.96,"Jan 29, 2026",575.01,635.71,122.81,16.01,19.35,46.90%,47.34%,46.90%,323.4,171.4,69.41,19.35,7.99,6.61,6.02,
Northern Arc Capital IPO,2024-09-16,2024-09-24,"BSE, NSE",544260,NORTHARC,777,263,97.41,149.32,32.85,80.97,350,323.4,22.97,251.9,252.05,-4.22,252.05 (-4.22%),"290.00 (Oct 06, 2025)","141.47 (Apr 07, 2025)",252.05,-4.22,290,"Oct 06, 2025",141.47,"Apr 07, 2025","11,707.66","1,906.03",317.69,11.78,13.36,,,13.32%,"2,314.35","2,123.37","9,047.76",,22.32,19.69,1.49,
Manba Finance IPO,2024-09-23,2024-09-30,"BSE, NSE",544262,MANBA,150.84,120,58,511.91,139.75,154.7,150,157.45,31.21,124.55,124.09,3.79,124.09 (3.79%),"159.50 (Jun 25, 2025)","119.00 (Mar 03, 2025)",124.09,3.79,159.5,"Jun 25, 2025",119,"Mar 03, 2025",973.75,191.63,31.42,14.39,19.19,21.36%,19.39%,15.66%,200.61,162.46,752.27,,8.34,6.25,2.25,
KRN Heat Exchanger IPO,2024-09-25,2024-10-03,"BSE, NSE",544263,KRN,341.95,220,102.4,428.12,101.07,151.95,480,478.79,117.63,716.55,715.2,225.7,715.20 (225.7%),"1,010.00 (Mar 05, 2025)","589.80 (Jan 27, 2026)",715.2,225.7,1010,"Mar 05, 2025",589.8,"Jan 27, 2026",258.36,313.54,39.07,24.78,33.52,40.86%,31.21%,29.68%,131.65,,59.69,12.67,8.88,6.56,,
Diffusion Engineers IPO,2024-09-26,2024-10-04,"BSE, NSE",544264,DIFFNKG,157.96,168,38.77,76.42,83.84,59.88,193.5,203.17,20.93,270.75,271.06,61.16,271.06 (61.16%),"418.20 (Sep 11, 2025)","231.85 (Apr 30, 2025)",271.06,61.16,418.2,"Sep 11, 2025",231.85,"Apr 30, 2025",275.59,285.56,30.8,15.28,20.41,18.52%,20.63%,18.52%,190.7,163.03,34.44,10.79,10.99,8.23,2.47,
Garuda Construction IPO,2024-10-08,2024-10-15,"BSE, NSE",544271,GARUDA,264.1,95,1.13,8.93,10.56,5.6,105,106.36,11.96,204,203.53,114.74,203.53 (114.74%),"249.30 (Nov 07, 2025)","87.50 (May 09, 2025)",203.53,114.74,249.3,"Nov 07, 2025",87.5,"May 09, 2025",234.84,11.88,3.5,19.49,21.03,36.14%,46.69%,30.62%,122.51,85.16,0.15,23.63,4.87,4.52,5.97,
Hyundai Motor IPO,2024-10-15,2024-10-22,"BSE, NSE",544274,HYUNDAI,"27,858.75","1,960",3.4,0.57,0.44,1.93,"1,934.00","1,819.60",-7.16,"2,175.80","2,179.50",11.01,"2,179.50 (11.01%)","2,890.00 (Sep 22, 2025)","1,541.70 (Apr 07, 2025)",2179.5,11.01,2890,"Sep 22, 2025",1541.7,"Apr 07, 2025","25,370.24","17,567.98","1,489.65",26.28,26.73,,13.69%,12.26%,"12,148.71","11,336.17",758.14,8.5,74.58,73.33,14.93,
Deepak Builders IPO,2024-10-21,2024-10-28,"BSE, NSE",544276,DBEIL,260.04,203,6.03,81.74,38.95,28.91,200,161.95,-20.22,89.58,89.39,-55.87,89.39 (-55.87%),"185.60 (Sep 29, 2025)","84.31 (Feb 02, 2026)",89.39,-55.87,185.6,"Sep 29, 2025",84.31,"Feb 02, 2026",641.1,106.34,14.21,12.06,16.63,8.48%,8.97%,9.57%,155.81,138.23,153.17,13.52,16.84,12.2,4.68,
Waaree Energies IPO,2024-10-21,2024-10-28,"BSE, NSE",544277,WAAREEENER,"4,321.44","1,503",86.51,64.65,11.06,55.98,"2,500.00","2,338.90",55.62,"3,096.85","3,096.20",106.04,"3,096.20 (106.04%)","3,865.00 (Sep 12, 2025)","1,863.00 (Apr 07, 2025)",3096.2,106.04,3865,"Sep 12, 2025",1863,"Apr 07, 2025","11,989.48","3,496.41",401.13,30.87,26.76,8.79%,9.45%,8.81%,"4,471.71","4,221.69",261.24,11.47,48.69,56.16,8.84,
Godavari Biorefineries IPO,2024-10-23,2024-10-30,"BSE, NSE",544279,GODAVARIB,554.75,352,1.77,0.89,1.68,1.61,308,343.2,-2.5,284.25,284.3,-19.25,284.30 (-19.25%),"348.70 (Jul 24, 2025)","145.00 (Mar 28, 2025)",284.3,-19.25,348.7,"Jul 24, 2025",145,"Mar 28, 2025","1,554.62",525.27,-26.11,120.04,-17.25,-11.16%,-2.35%,-11.16%,233.84,432.34,703.75,-4.97,2.93,-20.4,6.31,
Afcons Infrastructure IPO,2024-10-25,2024-11-04,"BSE, NSE",544280,AFCONS,"5,430.00",463,2.19,5.23,0.94,2.2,426,474.2,2.42,331.95,332.25,-28.3,332.25 (-28.3%),"498.70 (Mar 24, 2025)","319.00 (Jan 29, 2026)",332.25,-28.3,498.7,"Mar 24, 2025",319,"Jan 29, 2026","17,184.58","3,213.47",91.59,35.08,46.48,10.55%,14.89%,2.50%,"3,662.25","3,342.52","3,365.10",2.85,13.2,9.96,4.31,
Sagility India IPO,2024-11-05,2024-11-12,"BSE, NSE",544282,SAGILITY,"2,106.40",30,2.04,1.88,3.98,2.2,31.06,29.32,-2.27,47.35,47.33,57.83,47.33 (57.83%),"57.89 (Oct 30, 2025)","37.60 (Jun 16, 2025)",47.33,57.83,57.89,"Oct 30, 2025",37.6,"Jun 16, 2025","10,388.01","1,247.76",22.29,61.52,61.52,,,0.29,"7,608.16","2,704.28",943.91,11.83,0.49,0.49,2,
ACME Solar Holdings IPO,2024-11-06,2024-11-13,"BSE, NSE",544283,ACMESOLAR,"2,900.00",289,2.12,0.95,3.12,2.04,251,253.15,-12.4,224.7,224.64,-22.25,224.64 (-22.25%),"324.30 (Sep 15, 2025)","171.99 (Feb 17, 2025)",224.64,-22.25,324.3,"Sep 15, 2025",171.99,"Feb 17, 2025","13,985.14",340.01,1.39,21.63,"3,147.37",2.93,,0.07,"1,942.12","1,837.68","9,319.91",47.59,13.36,0.09,7.77,
Swiggy IPO,2024-11-06,2024-11-13,"BSE, NSE",544285,SWIGGY,"11,327.43",390,3.01,0.39,1.06,2.42,420,456,16.92,337.5,337.65,-13.46,337.65 (-13.46%),"474.00 (Sep 19, 2025)","297.00 (May 13, 2025)",337.65,-13.46,474,"Sep 19, 2025",297,"May 13, 2025","10,341.24","3,310.11",-611.01,-35.23,-35.72,,,-8.21%,"7,444.99","-7,750.85",256.61,,-11.07,-10.92,11.6,
Niva Bupa Health Insurance IPO,2024-11-07,2024-11-14,"BSE, NSE",544286,NIVABUPA,"2,200.00",74,1.49,0.7,2.77,1.5,78.5,74,0,76.22,76.24,3,76.24 (3%),"95.21 (May 19, 2025)","68.54 (Apr 07, 2025)",76.24,3,95.21,"May 19, 2025",68.54,"Apr 07, 2025","6,542.06","1,124.90",-18.82,153.7,-177.74,,,-0.92,"2,031.77","1,282.44",250,,0.48,-0.42,6.14,
Zinka Logistics Solutions IPO,2024-11-13,2024-11-22,"BSE, NSE",544288,BLACKBUCK,"1,114.72",273,1.53,0.23,1.6,1.34,279.05,260.2,-4.69,635.75,634.9,132.88,634.90 (132.88%),"748.00 (Oct 21, 2025)","373.20 (Apr 09, 2025)",634.9,132.88,748,"Oct 21, 2025",373.2,"Apr 09, 2025",629.41,98.33,32.38,-22,37.2,9.39%,1.50%,9.39%,344.98,339.07,161.01,,-12.41,7.34,14.6,
NTPC Green Energy IPO,2024-11-19,2024-11-27,"BSE, NSE",544289,NTPCGREEN,"10,000.00",108,2.01,0.84,3.6,1.91,111.5,121.65,12.64,89.01,89.01,-17.58,89.01 (-17.58%),"117.64 (May 22, 2025)","84.05 (Feb 02, 2026)",89.01,-17.58,117.64,"May 22, 2025",84.05,"Feb 02, 2026","32,408.30","1,132.74",175.3,234.97,259.56,7.39%,,2.14%,"8,189.18",596.08,"17,057.50",16.2,0.46,0.42,9.89,
Enviro Infra Engineers IPO,2024-11-22,2024-11-29,"BSE, NSE",544290,EIEL,650.3,148,63.5,152.57,23.86,62.85,220,207.07,39.91,167.1,167.01,12.91,167.01 (12.91%),"306.40 (Jul 18, 2025)","163.21 (Jan 27, 2026)",167.01,12.91,306.4,"Jul 18, 2025",163.21,"Jan 27, 2026",812.87,207.46,30.78,18.32,21.1,51.68%,32.34%,37.83%,323,186.29,305.59,15.17,8.08,7.01,6.89,
Suraksha Diagnostic IPO,2024-11-29,2024-12-06,"BSE, NSE",544293,SURAKSHA,846.25,441,1.31,1.39,0.88,1.17,438,441,0,284.15,285.15,-35.57,285.15 (-35.57%),"352.50 (Jun 25, 2025)","231.00 (Mar 04, 2025)",285.15,-35.57,352.5,"Jun 25, 2025",231,"Mar 04, 2025",314.2,61.85,7.67,99.31,74.89,14.09%,21.46%,14.09%,187.05,176.8,7.57,10.57,4.44,5.89,13.1,
One Mobikwik Systems IPO,2024-12-11,2024-12-18,"BSE, NSE",544305,MOBIKWIK,572,279,50.81,114.38,143.52,69.61,440,528,89.25,212.3,212.17,-23.91,212.17 (-23.91%),"367.60 (Feb 13, 2025)","190.62 (Jan 27, 2026)",212.17,-23.91,367.6,"Feb 13, 2025",190.62,"Jan 27, 2026",908.1,345.83,-6.62,113.32,-86.75,,,8.66%,158.65,147.21,206.34,,2.46,-3.22,9.81,
Sai Life Sciences IPO,2024-12-11,2024-12-18,"BSE, NSE",544306,SAILIFE,"3,042.62",549,12.54,4.99,1.36,7.5,650,764.65,39.28,915.6,914.85,66.78,914.85 (66.78%),"983.35 (Jan 07, 2026)","636.10 (Apr 09, 2025)",914.85,66.78,983.35,"Jan 07, 2026",636.1,"Apr 09, 2025","2,476.78",693.35,28.01,126.42,203.82,11.79%,15.96%,8.13%,"1,044.75","1,025.44",764.49,5.65,4.34,2.69,10.18,
Vishal Mega Mart IPO,2024-12-11,2024-12-18,"BSE, NSE",544307,VMM,"8,000.00",78,34.65,14.96,2.44,20.42,104,111.93,43.5,121.85,121.91,56.22,121.91 (56.22%),"157.60 (Aug 26, 2025)","95.99 (Feb 28, 2025)",121.91,56.22,157.6,"Aug 26, 2025",95.99,"Feb 28, 2025","9,551.75","5,053.42",254.14,76.13,69.19,,68.76%,8.18%,"5,923.74","1,390.27",,5.18,1.02,1.13,6.23,
Inventurus Knowledge IPO,2024-12-12,2024-12-19,"BSE, NSE",544309,IKS,"2,497.92","1,329",32.84,23.13,14.65,29.46,"2,095.00","1,885.80",41.9,"1,640.65","1,640.50",23.45,"1,640.50 (23.45%)","1,929.00 (Feb 25, 2025)","1,236.80 (Apr 07, 2025)",1640.5,23.45,1929,"Feb 25, 2025",1236.8,"Apr 07, 2025","2,790.52","1,294.61",208.58,61.55,54.66,32.00%,31.56%,32.00%,"1,377.11","1,360.17",828.63,20.38,21.59,24.31,19.07,
International Gemmological IPO,2024-12-13,2024-12-20,"BSE, NSE",544311,IGIIL,"4,225.00",417,19.83,25.84,11.48,19.89,510,471.15,12.99,324,324.5,-22.3,324.50 (-22.3%),"485.00 (Feb 11, 2025)","282.00 (Mar 12, 2025)",324.5,-22.3,485,"Feb 11, 2025",282,"Mar 12, 2025",775.6,619.49,326.06,50.98,82.9,76.58%,80.96%,76.58%,643.41,,,54.68,,,,
Concord Enviro Systems IPO,2024-12-19,2024-12-27,"BSE, NSE",544315,CEWATER,500.33,701,7.39,14.4,5.68,7.84,826,827.1,17.99,380.55,380.55,-45.71,380.55 (-45.71%),"662.95 (Feb 13, 2025)","349.65 (Dec 09, 2025)",380.55,-45.71,662.95,"Feb 13, 2025",349.65,"Dec 09, 2025",640.09,208.02,0.52,30.79,"1,171.52",13.73%,14.07%,12.92%,319.71,300.59,167.53,8.34,22.77,0.6,3.96,
DAM Capital Advisors IPO,2024-12-19,2024-12-27,"BSE, NSE",544316,DAMCAPITAL,840.25,283,67.08,98.1,27.22,57.65,393,415.1,46.68,163,163.19,-42.4,163.19 (-42.4%),"303.50 (Jun 06, 2025)","163.00 (Feb 12, 2026)",163.19,-42.4,303.5,"Jun 06, 2025",163,"Feb 12, 2026",214.68,182,70.52,28.37,28.37,54.72%,,44.98%,162.61,148.47,4.93,38.75,9.98,9.98,12.76,
Mamata Machinery IPO,2024-12-19,2024-12-27,"BSE, NSE",544318,MAMATA,179.35,243,94.92,272.75,139.29,136.48,600,630,159.26,426.4,426.45,75.47,426.45 (75.47%),"541.00 (Jul 30, 2025)","311.55 (Apr 07, 2025)",426.45,75.47,541,"Jul 30, 2025",311.55,"Apr 07, 2025",240.85,29.19,0.22,15.3,633.97,27.76%,31.29%,27.39%,132.82,,4.34,15.27,15.88,0.38,4.5,
Sanathan Textiles IPO,2024-12-19,2024-12-27,"BSE, NSE",544314,SANATHAN,550,321,32.51,44.26,9.3,26.15,422.3,388.35,20.98,422.8,427.3,31.71,427.30 (31.71%),"560.20 (Jul 21, 2025)","286.95 (Mar 03, 2025)",427.3,31.71,560.2,"Jul 21, 2025",286.95,"Mar 03, 2025","2,529.53",787.76,50.07,17.25,13.53,11.09%,11.80%,10.42%,"1,324.06",,644.93,4.53,18.6,23.73,1.81,
Transrail Lighting IPO,2024-12-19,2024-12-27,"BSE, NSE",544317,TRANSRAILL,838.91,432,79.49,78.1,23.08,58.2,590,553.55,28.14,554.2,555.05,28.29,555.05 (28.29%),"855.80 (Aug 13, 2025)","394.55 (Apr 07, 2025)",555.05,28.29,855.8,"Aug 13, 2025",394.55,"Apr 07, 2025","4,836.17",929.7,51.74,23.15,28.02,24.41%,24.33%,21.68%,"1,140.65",,603.43,5.65,18.66,15.42,4.7,
Carraro India IPO,2024-12-20,2024-12-30,"BSE, NSE",544320,CARRARO,"1,250.00",704,1.56,0.59,0.72,1.12,651,636.2,-9.63,565.45,568.8,-19.68,568.80 (-19.68%),"614.50 (Feb 12, 2026)","253.15 (Apr 09, 2025)",568.8,-19.68,614.5,"Feb 12, 2026",253.15,"Apr 09, 2025","1,093.41",922.74,49.73,63.97,40.24,17.69%,19.35%,16.92%,419.44,,195.78,3.5,11,17.5,,
Senores Pharmaceuticals IPO,2024-12-20,2024-12-30,"BSE, NSE",544319,SENORES,582.11,391,40.12,98.1,94.87,54.02,593.7,557.8,42.66,785.25,783.55,100.83,783.55 (100.83%),"876.50 (Jan 07, 2026)","440.30 (Apr 07, 2025)",783.55,100.83,876.5,"Jan 07, 2026",440.3,"Apr 07, 2025",678.08,183.35,23.94,39.77,28.21,23.60%,11.73%,23.60%,319.06,263.36,242.03,15.25,9.83,13.86,5.84,
Ventive Hospitality IPO,2024-12-20,2024-12-30,"BSE, NSE",544321,VENTIVE,"1,600.00",643,4.43,14.54,6.19,6.12,716,704.35,9.54,746.55,748.45,16.1,748.45 (16.1%),"840.00 (May 13, 2025)","523.40 (Mar 03, 2025)",748.45,16.1,840,"May 13, 2025",523.4,"Mar 03, 2025",,875.9,-137.83,-201.01,-54.48,,,-1.82%,,,,35,-3.2,-11.8,3.66,
Unimech Aerospace IPO,2024-12-23,2024-12-31,"BSE, NSE",544322,UNIMECH,500,785,133.73,275.23,57.86,128.02,"1,460.00","1,376.25",75.32,937.3,937,19.4,937.00 (19.4%),"1,397.00 (Jun 17, 2025)","807.05 (Jan 27, 2026)",937,19.4,1397,"Jun 17, 2025",807.05,"Jan 27, 2026",509.27,127.58,38.68,64.37,51.61,53.53%,54.36%,53.53%,390.1,113.71,74.71,27.85,12.19,15.21,31.77,
Standard Glass Lining IPO,2025-01-06,2025-01-13,"NSE, BSE",544333,SGLTL,410.05,140,131.6,273.52,65.72,129.83,176,163.35,16.68,131.05,135.98,-6.39,135.98 (-4.82%),"213.80 (Jan 16, 2025)","124.00 (Mar 04, 2025)",135.98,-4.82,213.8,"Jan 16, 2025",124,"Mar 04, 2025",756.52,312.1,36.27,43.04,38.5,20.74%,25.49%,20.74%,447.8,261.58,173.8,10.92,3.25,3.64,5.7,
Quadrant Future Tek IPO,2025-01-07,2025-01-14,"BSE, NSE",544336,QUADFUTURE,290,290,56.72,265.68,256.63,108.05,370,444,53.1,292.7,292.8,0.93,293.60 (1.38%),"618.85 (Feb 13, 2025)","248.55 (Dec 18, 2025)",293.6,1.38,618.85,"Feb 13, 2025",248.55,"Dec 18, 2025",149.66,65.14,-12.11,59.13,-47.91,33.41%,26.12%,33.41%,34.18,4.18,98.01,9.68,4.9,-6.05,19.73,
Laxmi Dental IPO,2025-01-13,2025-01-20,"BSE, NSE",544339,LAXMIDENTL,698.06,428,44.6,147.44,75.35,63.1,542,550.55,28.63,192.25,191.94,-55.08,203.47 (-52.61%),"509.95 (Jul 21, 2025)","180.30 (Jan 30, 2026)",203.47,-52.61,509.95,"Jul 21, 2025",180.3,"Jan 30, 2026",158.22,117.9,22.74,87.77,51.73,78.78%,19.97%,78.78%,67.09,,40.91,13.03,4.88,8.27,49.59,
Stallion India Fluorochemicals IPO,2025-01-16,2025-01-23,"BSE, NSE",544342,STALLION,199.45,90,69.58,424.11,94.51,131.49,120,126,40,164.95,165.37,83.28,173.85 (92.67%),"359.15 (Oct 17, 2025)","50.85 (Mar 03, 2025)",173.85,92.67,359.15,"Oct 17, 2025",50.85,"Mar 03, 2025",235.69,141.53,16.57,37.41,21.55,12.54%,13.96%,12.54%,134.53,,81.05,6.26,2.41,4.18,4.69,
