Company,Opening_Date,Listing_Date,Listing_At,BSE_Scrip_Code,NSE_Symbol,Issue_Amount_(Rs.cr.),Issue_Price_(Rs.),QIB_(x),NII_(x),Retail_(x),Total_(x),Open_Price_on_Listing_(Rs.),Close_Price_on_Listing_(Rs.),%_Gain_/_Loss_(Issue_price_v/s_Close_price_on_Listing),Current_Price_<br>at_BSE_(Rs.),Current_Price_<br>at_NSE_(Rs.),Gain_/_Loss_(%),Market_Price_(Rs.),52_Week_High,52_Week_Low,Market_Price_(Value),Market_Price_(%),52_Week_High_(Value),52_Week_High_(Date),52_Week_Low_(Value),52_Week_Low_(Date),Assets_(Rs.cr.),Revenue_(Rs.cr.),Profit_After_Tax_(Rs.cr.),P/E_(x)_Pre-IPO,P/E_(x)_Post-IPO,ROE,ROCE,RoNW,Net_Worth_(Rs.cr.),Reserves_and_Surplus_(Rs.cr.),Total_Borrowing_(Rs.cr.),PAT_Margin_%,EPS_(Rs.)_Pre-IPO,EPS_(Rs.)_Post-IPO,Price_to_Book_Value,Ebitda_(Rs.cr.)
Rashi Peripherals IPO,2024-02-07,2024-02-14,"BSE, NSE",544119,RPTECH,600,311,61.02,65.97,10.98,44.25,339.5,321.5,3.38,365.4,365.6,17.49,365.60 (17.49%),"408.70 (Jan 06, 2026)","245.15 (Mar 03, 2025)",365.6,17.49,408.7,"Jan 06, 2026",245.15,"Mar 03, 2025","4,058.64","5,473.27",72.02,11.75,14.23,19.33%,14.21%,17.60%,772.74,686.24,"1,395.20",1.3,26.46,21.86,1.86,
Entero Healthcare Solutions IPO,2024-02-09,2024-02-16,"BSE, NSE",544122,ENTERO,"1,600.00","1,258",1.53,0.21,1.32,1.31,"1,228.70","1,149.55",-8.62,"1,154.55","1,148.60",-8.22,"1,148.60 (-8.22%)","1,510.80 (May 26, 2025)","944.00 (Dec 29, 2025)",1148.6,-8.22,1510.8,"May 26, 2025",944,"Dec 29, 2025","1,505.95","1,898.98",11.64,0,129.75,-2.66%,6.06%,-1.86%,660.54,,488.68,4.69,0,9.7,7.22,
Vibhor Steel Tubes IPO,2024-02-13,2024-02-20,"BSE, NSE",544124,VSTL,72.17,151,75.42,770.67,197.91,221.21,425,446.25,195.53,118.55,119.36,-21.49,119.36 (-21.49%),"204.99 (Jul 08, 2025)","114.00 (Jan 20, 2026)",119.36,-21.49,204.99,"Jul 08, 2025",114,"Jan 20, 2026",376.48,531.24,8.52,10.17,16.8,25.51%,16.48%,22.60%,101.76,,160.27,1.89,14.85,8.99,2.3,
Juniper Hotels IPO,2024-02-21,2024-02-28,"BSE, NSE",544129,JUNIPER,"1,800.00",360,1.9,0.88,1.29,1.68,365,401.5,11.53,243.05,243.53,-32.49,243.53 (-32.49%),"345.55 (May 28, 2025)","205.75 (Jan 29, 2026)",243.53,-32.49,345.55,"May 28, 2025",205.75,"Jan 29, 2026","3,837.83",337.43,-26.5,,,,,-0.42%,859.67,687.17,"2,252.75",,,,,
GPT Healthcare IPO,2024-02-22,2024-02-29,"BSE, NSE",544131,GPTHEALTH,525.14,186,7.57,11.03,2.35,6.26,215,200.7,7.9,127.75,127.91,-31.32,127.91 (-31.32%),"185.00 (Aug 05, 2025)","123.32 (Feb 03, 2026)",127.91,-31.32,185,"Aug 05, 2025",123.32,"Feb 03, 2026",332.09,206.7,23.49,38.1,32.49,23.59%,26.09%,23.77%,171.43,92.75,55.57,10.64,4.88,0,9.06,
Exicom Tele-Systems IPO,2024-02-27,2024-03-05,"BSE, NSE",544133,EXICOM,429,142,56.23,158.82,121.61,78.16,265,224.95,58.42,97,96.53,-31.69,96.53 (-31.69%),"208.65 (Jun 11, 2025)","93.20 (Feb 02, 2026)",96.53,-31.69,208.65,"Jun 11, 2025",93.2,"Feb 02, 2026",629.41,467.21,27.46,217.63,31.24,13.38%,10.92%,2.75%,311.4,204.95,72.84,4.3,0.65,4.55,5.63,
Platinum Industries IPO,2024-02-27,2024-03-05,"BSE, NSE",544134,PLATIND,235.32,171,61.19,141.66,50.17,69.4,225,221.2,29.36,241.55,241.41,41.26,241.41 (41.26%),"342.40 (Sep 17, 2025)","213.00 (Jan 12, 2026)",241.41,41.26,342.4,"Sep 17, 2025",213,"Jan 12, 2026",137.72,123.73,22.84,18.73,20.57,90.02%,56.85%,61.26%,85.04,44.86,11.46,9.32,9.13,8.31,11.13,
Mukka Proteins IPO,2024-02-29,2024-03-07,"BSE, NSE",544135,MUKKA,224,28,76.64,246.54,57.27,95.35,40,42.25,50.89,24.86,24.92,-11.21,24.92 (-11.21%),"36.73 (Mar 18, 2025)","20.16 (Jan 21, 2026)",24.92,-11.21,36.73,"Mar 18, 2025",20.16,"Jan 21, 2026",641.18,612.88,32.98,12.96,12.73,36.71%,17.62%,34.19%,159.11,144.92,317.73,4.04,2.16,2.2,4.78,
R K SWAMY IPO,2024-03-04,2024-03-12,"BSE, NSE",544136,RKSWAMY,423.56,288,8.85,34.16,33.33,14.81,250,262.6,-8.82,105.55,106.73,-63.35,106.73 (-63.35%),"248.04 (Mar 24, 2025)","97.50 (Jan 21, 2026)",106.73,-63.35,248.04,"Mar 24, 2025",97.5,"Jan 21, 2026",252.23,142.55,7.93,40.96,91.63,16.47%,6.29%,5.41%,146.66,28.85,51.05,5.56,7.03,3.14,8.73,
J.G.Chemicals IPO,2024-03-05,2024-03-13,"BSE, NSE",544138,JGCHEM,251.19,221,13.41,47.72,17.59,20.02,209,184.8,-16.38,381.15,378.4,72.47,378.40 (72.47%),"558.00 (Jul 21, 2025)","280.45 (Apr 07, 2025)",378.4,72.47,558,"Jul 21, 2025",280.45,"Apr 07, 2025",271.26,491.1,18.51,16.25,20.08,8.20%,11.86%,8.16%,217.86,193.22,,7.24,13.6,11.01,3.51,
